transaction_date,payment_method,cashier_name,transaction_amount,transaction_discount,customer_first_name,customer_last_name,customer_email,customer_phone,customer_city,customer_province,customer_loyalty_tier,customer_since,store_name,store_city,store_province,store_region,store_manager,product_name,category,sub_category,sku,unit_price,cost_price,supplier,qty,line_amount,stock_on_hand,reorder_threshold
23 Apr 2024,Credit Card,Oscar Mthembu,89.94,300.0,Zinhle,Mkhize,zinhle.mkhize@hotmail.com,0721234603,Newcastle,KwaZulu-Natal,Silver,2021-07-08,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Nivea Moisturising Cream 200ml,Beauty & Personal Care,Skin Care,SKU-BPC-004,99.99,62.0,Beiersdorf SA,3,299.97,19,8
23 Apr 2024,Credit Card,Oscar Mthembu,89.94,300.0,Zinhle,Mkhize,zinhle.mkhize@hotmail.com,0721234603,Newcastle,KwaZulu-Natal,Silver,2021-07-08,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Full Cream Milk 2L,Groceries,Dairy,SKU-GRO-002,29.99,19.0,Clover SA,3,89.97,35,15
2024-01-21,Credit Card,Brian Sithole,254.97,20.0,Nobuhle,Hadebe,nobuhle.h@webmail.co.za,0711234584,Durban South,KwaZulu-Natal,Gold,2020-02-28,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Listerine Mouthwash 500ml,Beauty & Personal Care,Oral Care,SKU-BPC-006,74.99,46.0,J&J SA,1,74.99,18,7
2024-01-21,Credit Card,Brian Sithole,254.97,20.0,Nobuhle,Hadebe,nobuhle.h@webmail.co.za,0711234584,Durban South,KwaZulu-Natal,Gold,2020-02-28,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Nivea Moisturising Cream 200ml,Beauty & Personal Care,Skin Care,SKU-BPC-004,99.99,62.0,Beiersdorf SA,2,199.98,19,8
2024-04-17,Debit Card,Oscar Mthembu,177.98,500.0,Ayanda,Ngcobo,,0861234586,Umlazi,KwaZulu-Natal,Silver,2021-08-09,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Men's Running Shorts,Clothing,Bottoms,SKU-CLO-008,249.0,145.0,Sportscene,2,498.0,18,7
2024-04-17,Debit Card,Oscar Mthembu,177.98,500.0,Ayanda,Ngcobo,,0861234586,Umlazi,KwaZulu-Natal,Silver,2021-08-09,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Dove Body Lotion 400ml,Beauty & Personal Care,Body Care,SKU-BPC-001,89.99,58.0,Unilever SA,2,179.98,25,10
2024-04-19,Cash,David Nkosi,867.99,75.0,Chantelle,Petersen,chantelle.petersen@gmail.com,0721234580,Mitchell's Plain,Western Cape,Silver,2022-03-22,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Ceramic Coffee Mug Set x4,Home & Kitchen,Crockery,SKU-HOM-002,199.0,120.0,Home Living,1,199.0,17,6
2024-04-19,Cash,David Nkosi,867.99,75.0,Chantelle,Petersen,chantelle.petersen@gmail.com,0721234580,Mitchell's Plain,Western Cape,Silver,2022-03-22,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Rooibos Tea 40 Bags,Groceries,Hot Beverages,SKU-GRO-006,45.99,32.0,Freshpak,1,45.99,24,10
2024-04-19,Cash,David Nkosi,867.99,75.0,Chantelle,Petersen,chantelle.petersen@gmail.com,0721234580,Mitchell's Plain,Western Cape,Silver,2022-03-22,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Non-stick Frying Pan 28cm,Home & Kitchen,Cookware,SKU-HOM-001,349.0,220.0,Circulon,2,698.0,13,5
2024-02-02,Credit Card,Faith Adams,186.94,50.0,Sipho,Zulu,sipho.zulu@webmail.co.za,0741234573,Soweto,Gauteng,Gold,2018-09-01,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Instant Coffee 100g,Groceries,Hot Beverages,SKU-GRO-010,89.99,58.0,Nescafé SA,1,89.99,22,8
2024-02-02,Credit Card,Faith Adams,186.94,50.0,Sipho,Zulu,sipho.zulu@webmail.co.za,0741234573,Soweto,Gauteng,Gold,2018-09-01,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Canned Chickpeas 400g,Groceries,Canned Goods,SKU-GRO-011,22.99,13.0,Koo,4,91.96,50,20
2024-02-02,Credit Card,Faith Adams,186.94,50.0,Sipho,Zulu,sipho.zulu@webmail.co.za,0741234573,Soweto,Gauteng,Gold,2018-09-01,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Peanut Butter 400g,Groceries,Spreads,SKU-GRO-012,54.99,35.0,Black Cat,1,54.99,26,10
2024-03-18,Debit Card,Thandi Joubert,516.9,0.0,Ayanda,Ngcobo,ayanda.ngcobo@gmail.com,0861234586,Umlazi,KwaZulu-Natal,Silver,2021-08-09,BrightMart Menlyn Park,Pretoria,Gauteng,North,Nomsa Khumalo,Basmati Rice 2kg,Groceries,Grains,SKU-GRO-007,69.99,48.0,Tastic,5,349.95,18,8
2024-03-18,Debit Card,Thandi Joubert,516.9,0.0,Ayanda,Ngcobo,ayanda.ngcobo@gmail.com,0861234586,Umlazi,KwaZulu-Natal,Silver,2021-08-09,BrightMart Menlyn Park,Pretoria,Gauteng,North,Nomsa Khumalo,Pasta Fusilli 500g,Groceries,Pasta,SKU-GRO-008,18.99,11.0,Fatti's & Moni's,3,56.97,40,15
2024-03-18,Debit Card,Thandi Joubert,516.9,0.0,Ayanda,Ngcobo,ayanda.ngcobo@gmail.com,0861234586,Umlazi,KwaZulu-Natal,Silver,2021-08-09,BrightMart Menlyn Park,Pretoria,Gauteng,North,Nomsa Khumalo,Peanut Butter 400g,Groceries,Spreads,SKU-GRO-012,54.99,35.0,Black Cat,2,109.98,26,10
2024-04-29,Credit Card,Jane Williams,199.0,0.0,Tafadzwa,Moyo,tafadzwa.moyo@gmail.com,0821234588,Randburg,Gauteng,Silver,2020-05-19,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Kids T-Shirt Pack x3,Clothing,Tops,SKU-CLO-006,199.0,110.0,Ackermans,1,199.0,24,8
2024-03-28,Debit Card,Eve Fourie,499.0,0.0,Fatima,Hendricks,fatima.hendricks@icloud.com,0821234574,Cape Town CBD,Western Cape,Silver,2020-04-17,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Portable Power Bank 20000mAh,Electronics,Accessories,SKU-ELE-008,499.0,320.0,Romoss,1,499.0,12,4
2024-04-13,Debit Card,Mike Dlamini,11.98,100.0,Zinhle,Mkhize,zinhle.mkhize@hotmail.com,0721234603,Newcastle,KwaZulu-Natal,Silver,2021-07-08,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Sunflower Oil 2L,Groceries,Oils & Fats,SKU-GRO-004,55.99,38.0,Sunfoil,2,111.98,19,8
2024-06-25,Debit Card,Brian Sithole,304.9,50.0,Xolani,Khumalo,xolani.khumalo@gmail.com,0821234608,Johannesburg CBD,Gauteng,Silver,2020-11-15,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,White Bread 700g,Groceries,Bakery,SKU-GRO-001,15.99,9.5,Sasko Bakeries,5,79.95,42,20
2024-06-25,Debit Card,Brian Sithole,304.9,50.0,Xolani,Khumalo,xolani.khumalo@gmail.com,0821234608,Johannesburg CBD,Gauteng,Silver,2020-11-15,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Peanut Butter 400g,Groceries,Spreads,SKU-GRO-012,54.99,35.0,Black Cat,5,274.95,26,10
2024-01-04,Credit Card,Nandi Hadebe,648.0,0.0,Musa,Ntuli,musa.ntuli@gmail.com,0861234610,Empangeni,KwaZulu-Natal,Gold,2019-05-17,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Adjustable Laptop Stand,Electronics,Accessories,SKU-ELE-003,349.0,220.0,TechGear,1,349.0,14,5
2024-01-04,Credit Card,Nandi Hadebe,648.0,0.0,Musa,Ntuli,musa.ntuli@gmail.com,0861234610,Empangeni,KwaZulu-Natal,Gold,2019-05-17,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Logitech M185 Wireless Mouse,Electronics,Accessories,SKU-ELE-005,299.0,195.0,Logitech,1,299.0,16,5
2024-06-01,Debit Card,Quinton Cronje,122.93,300.0,Irene,du Plessis,irene.duplessis@gmail.com,0661234594,Bloemfontein,Free State,Silver,2021-02-07,BrightMart Menlyn Park,Pretoria,Gauteng,North,Nomsa Khumalo,Sunflower Oil 2L,Groceries,Oils & Fats,SKU-GRO-004,55.99,38.0,Sunfoil,3,167.97,19,8
2024-06-01,Debit Card,Quinton Cronje,122.93,300.0,Irene,du Plessis,irene.duplessis@gmail.com,0661234594,Bloemfontein,Free State,Silver,2021-02-07,BrightMart Menlyn Park,Pretoria,Gauteng,North,Nomsa Khumalo,Full Cream Milk 2L,Groceries,Dairy,SKU-GRO-002,29.99,19.0,Clover SA,1,29.99,35,15
2024-06-01,Debit Card,Quinton Cronje,122.93,300.0,Irene,du Plessis,irene.duplessis@gmail.com,0661234594,Bloemfontein,Free State,Silver,2021-02-07,BrightMart Menlyn Park,Pretoria,Gauteng,North,Nomsa Khumalo,Large Eggs x12,Groceries,Dairy,SKU-GRO-003,44.99,32.0,Country Range Farms,1,44.99,28,12
2024-06-01,Debit Card,Quinton Cronje,122.93,300.0,Irene,du Plessis,irene.duplessis@gmail.com,0661234594,Bloemfontein,Free State,Silver,2021-02-07,BrightMart Menlyn Park,Pretoria,Gauteng,North,Nomsa Khumalo,Instant Coffee 100g,Groceries,Hot Beverages,SKU-GRO-010,89.99,58.0,Nescafé SA,2,179.98,22,8
2024-02-29,Debit Card,Yolanda Fredericks,99.96,200.0,Zanele,Mokoena,zanele.mokoena@gmail.com,0711234576,Midrand,Gauteng,Gold,2020-12-05,BrightMart Greenacres,Gqeberha,Eastern Cape,South,Johan van der Merwe,Listerine Mouthwash 500ml,Beauty & Personal Care,Oral Care,SKU-BPC-006,74.99,46.0,J&J SA,4,299.96,18,7
2024-04-29,EFT,Nandi Hadebe,397.0,500.0,Irene,du Plessis,irene.duplessis@gmail.com,0661234594,Bloemfontein,Free State,Silver,2021-02-07,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Men's Polo Shirt,Clothing,Tops,SKU-CLO-001,299.0,180.0,Identity,3,897.0,20,8
2024/01/11,Credit Card,Quinton Cronje,-27.01,50.0,Irene,du Plessis,irene.duplessis@gmail.com,0661234594,Bloemfontein,Free State,Silver,2021-02-07,BrightMart Menlyn Park,Pretoria,Gauteng,North,Nomsa Khumalo,Canned Chickpeas 400g,Groceries,Canned Goods,SKU-GRO-011,22.99,13.0,Koo,1,22.99,50,20
2024-05-06,Debit Card,David Nkosi,677.0,300.0,Aashika,Pillay,aashika.pillay@gmail.com,0841234577,Phoenix,KwaZulu-Natal,Silver,2021-09-18,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Stainless Steel Water Bottle,Home & Kitchen,Drinkware,SKU-HOM-008,179.0,100.0,Hydro Flask,1,179.0,20,8
2024-05-06,Debit Card,David Nkosi,677.0,300.0,Aashika,Pillay,aashika.pillay@gmail.com,0841234577,Phoenix,KwaZulu-Natal,Silver,2021-09-18,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Electric Kettle 1.7L,Home & Kitchen,Appliances,SKU-HOM-006,449.0,290.0,Russell Hobbs,1,449.0,10,4
2024-05-06,Debit Card,David Nkosi,677.0,300.0,Aashika,Pillay,aashika.pillay@gmail.com,0841234577,Phoenix,KwaZulu-Natal,Silver,2021-09-18,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Non-stick Frying Pan 28cm,Home & Kitchen,Cookware,SKU-HOM-001,349.0,220.0,Circulon,1,349.0,13,5
2024-02-01,Debit Card,Eve Fourie,168.99,50.0,VUSI,MAHLANGU,vusi.mahlangu@webmail.co.za,0711234593,Pretoria North,Gauteng,Gold,2020-08-14,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Garnier Face Wash 150ml,Beauty & Personal Care,Skin Care,SKU-BPC-007,89.99,55.0,L'Oréal SA,1,89.99,22,8
2024-02-01,Debit Card,Eve Fourie,168.99,50.0,VUSI,MAHLANGU,vusi.mahlangu@webmail.co.za,0711234593,Pretoria North,Gauteng,Gold,2020-08-14,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Bamboo Dress Socks 3-Pack,Clothing,Accessories,SKU-CLO-005,129.0,75.0,Falke,1,129.0,30,10
2024-02-07,Credit Card,Jane Williams,2395.0,0.0,Portia,Molefi,portia.molefi@gmail.com,0861234605,Pretoria West,Gauteng,Gold,2020-06-22,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Logitech M185 Wireless Mouse,Electronics,Accessories,SKU-ELE-005,299.0,195.0,Logitech,2,598.0,16,5
